Vernier Format 2
penn.txt 4/15/117 20:45:26
Run 1
Time	Temperature	
T	T	
s	°C	

0	1.4	
1	1.4	
2	1.4	
3	1.4	
4	1.4	
5	1.4	
6	1.4	
7	1.4	
8	1.4	
9	1.3	
10	1.4	
11	1.4	
12	1.3	
13	1.4	
14	1.4	
15	1.3	
16	1.4	
17	1.3	
18	1.4	
19	1.3	
20	1.4	
21	1.4	
22	1.3	
23	1.3	
24	1.4	
25	1.3	
26	1.3	
27	1.4	
28	1.4	
29	1.3	
30	1.4	
31	1.4	
32	1.4	
33	1.4	
34	1.4	
35	1.4	
36	1.3	
37	1.4	
38	1.4	
39	1.4	
40	1.4	
41	1.4	
42	1.4	
43	1.4	
44	1.4	
45	1.4	
46	1.4	
47	1.4	
48	1.4	
49	1.3	
50	1.3	
51	1.3	
52	1.3	
53	1.3	
54	1.3	
55	1.3	
56	1.3	
57	1.3	
58	1.3	
59	1.3	
60	1.3	
61	1.5	
62	1.4	
63	1.3	
64	1.6	
65	1.4	
66	1.5	
67	1.4	
68	1.4	
69	1.5	
70	1.5	
71	1.6	
72	1.5	
73	1.5	
74	1.5	
75	1.6	
76	1.5	
77	1.5	
78	1.6	
79	1.6	
80	1.6	
81	1.6	
82	1.7	
83	1.7	
84	1.6	
85	1.7	
86	1.6	
87	1.7	
88	1.7	
89	1.7	
90	1.7	
91	1.7	
92	1.7	
93	1.7	
94	1.7	
95	1.8	
96	1.8	
97	1.8	
98	1.8	
99	1.8	
100	1.8	
101	1.9	
102	1.9	
103	1.9	
104	1.9	
105	2.0	
106	2.1	
107	2.2	
108	2.2	
109	2.2	
110	2.2	
111	2.2	
112	2.3	
113	2.3	
114	2.3	
115	2.3	
116	2.3	
117	2.3	
118	2.3	
119	2.4	
120	2.4	
121	2.4	
122	2.4	
123	2.5	
124	2.6	
125	2.5	
126	2.5	
127	2.6	
128	2.5	
129	2.6	
130	2.7	
131	2.7	
132	2.7	
133	2.7	
134	2.8	
135	2.8	
136	2.8	
137	2.8	
138	2.9	
139	2.9	
140	3.0	
141	3.0	
142	3.0	
143	3.0	
144	3.0	
145	3.2	
146	3.2	
147	3.2	
148	3.3	
149	3.4	
150	3.4	
151	3.4	
152	3.5	
153	3.5	
154	3.5	
155	3.6	
156	3.6	
157	3.7	
158	3.8	
159	3.8	
160	3.8	
161	3.8	
162	3.8	
163	3.8	
164	3.9	
165	3.9	
166	3.9	
167	4.0	
168	4.0	
169	4.0	
170	4.1	
171	4.2	
172	4.2	
173	4.2	
174	4.3	
175	4.3	
176	4.3	
177	4.4	
178	4.4	
179	4.5	
180	4.5	
181	4.6	
182	4.6	
183	4.6	
184	4.7	
185	4.7	
186	4.8	
187	4.8	
188	4.9	
189	4.9	
190	4.9	
191	5.0	
192	5.0	
193	5.1	
194	5.0	
195	5.2	
196	5.2	
197	5.2	
198	5.3	
199	5.4	
200	5.4	
201	5.3	
202	5.3	
203	5.4	
204	5.5	
205	5.5	
206	5.5	
207	5.5	
208	5.6	
209	5.6	
210	5.7	
211	5.6	
212	5.6	
213	5.6	
214	5.7	
215	5.8	
216	5.7	
217	5.9	
218	5.9	
219	5.9	
220	6.0	
221	6.1	
222	6.0	
223	6.1	
224	6.1	
225	6.1	
226	6.2	
227	6.3	
228	6.3	
229	6.3	
230	6.2	
231	6.3	
232	6.4	
233	6.4	
234	6.4	
235	6.5	
236	6.6	
237	6.6	
238	6.7	
239	6.7	
240	6.8	
241	6.7	
242	6.8	
243	6.8	
244	6.9	
245	6.9	
246	6.9	
247	6.9	
248	7.0	
249	7.0	
250	7.1	
251	7.2	
252	7.2	
253	7.1	
254	7.2	
255	7.3	
256	7.2	
257	7.2	
258	7.2	
259	7.2	
260	7.2	
261	7.3	
262	7.4	
263	7.4	
264	7.4	
265	7.4	
266	7.3	
267	7.5	
268	7.5	
269	7.6	
270	7.6	
271	7.6	
272	7.8	
273	7.8	
274	7.7	
275	7.7	
276	7.9	
277	7.8	
278	8.0	
279	7.9	
280	8.0	
281	7.9	
282	8.0	
283	8.0	
284	8.1	
285	8.1	
286	8.1	
287	8.1	
288	8.2	
289	8.2	
290	8.3	
291	8.4	
292	8.4	
293	8.4	
294	8.4	
295	8.5	
296	8.5	
297	8.5	
298	8.6	
299	8.6	
300	8.7	
301	8.7	
302	8.7	
303	8.7	
304	8.8	
305	8.9	
306	8.9	
307	8.9	
308	9.0	
309	9.0	
310	9.0	
311	9.1	
312	9.1	
313	9.2	
314	9.2	
315	9.3	
316	9.3	
317	9.3	
318	9.4	
319	9.4	
320	9.5	
321	9.5	
322	9.5	
323	9.5	
324	9.6	
325	9.6	
326	9.7	
327	9.6	
328	9.8	
329	9.8	
330	9.9	
331	10.0	
332	10.0	
333	10.1	
334	10.1	
335	10.0	
336	10.0	
337	10.2	
338	10.1	
339	10.4	
340	10.4	
341	10.4	
342	10.4	
343	10.5	
344	10.5	
345	10.6	
346	10.6	
347	10.7	
348	10.7	
349	10.8	
350	10.9	
351	11.0	
352	10.9	
353	10.9	
354	10.9	
355	11.0	
356	11.0	
357	11.0	
358	11.0	
359	11.1	
360	11.2	
361	11.2	
362	11.3	
363	11.3	
364	11.3	
365	11.4	
366	11.4	
367	11.4	
368	11.5	
369	11.5	
370	11.6	
371	11.6	
372	11.7	
373	11.7	
374	11.9	
375	11.8	
376	11.9	
377	11.8	
378	11.5	
379	12.0	
380	12.0	
381	12.1	
382	12.0	
383	12.1	
384	12.1	
385	12.2	
386	12.2	
387	12.2	
388	12.3	
389	12.2	
390	12.4	
391	12.4	
392	12.5	
393	12.5	
394	12.5	
395	12.5	
396	12.7	
397	12.7	
398	12.7	
399	12.8	
400	12.9	
401	12.9	
402	12.9	
403	13.0	
404	13.0	
405	13.1	
406	13.2	
407	13.2	
408	13.2	
409	13.2	
410	13.3	
411	13.4	
412	13.4	
413	13.4	
414	13.4	
415	13.6	
416	13.6	
417	13.6	
418	13.6	
419	13.6	
420	13.7	
421	13.8	
422	13.7	
423	13.9	
424	13.9	
425	14.0	
426	14.0	
427	14.1	
428	14.1	
429	14.1	
430	14.2	
431	14.3	
432	14.3	
433	14.4	
434	14.4	
435	14.5	
436	14.6	
437	14.6	
438	14.5	
439	14.6	
440	14.7	
441	14.7	
442	14.9	
443	14.9	
444	14.9	
445	14.9	
446	15.0	
447	15.1	
448	15.1	
449	15.1	
450	15.2	
451	15.2	
452	15.3	
453	15.3	
454	15.4	
455	15.4	
456	15.4	
457	15.5	
458	15.5	
459	15.6	
460	15.7	
461	15.7	
462	15.7	
463	15.8	
464	15.8	
465	15.9	
466	15.9	
467	16.0	
468	16.0	
469	16.0	
470	16.1	
471	16.1	
472	16.2	
473	16.2	
474	16.3	
475	16.3	
476	16.6	
477	16.5	
478	16.6	
479	16.6	
480	16.7	
481	16.7	
482	16.8	
483	16.8	
484	16.9	
485	16.9	
486	17.0	
487	17.0	
488	17.0	
489	17.1	
490	17.1	
491	17.0	
492	17.2	
493	17.2	
494	17.2	
495	17.4	
496	17.3	
497	17.3	
498	17.4	
499	17.4	
500	17.5	
501	17.6	
502	17.6	
503	17.6	
504	17.7	
505	17.7	
506	17.8	
507	17.8	
508	17.8	
509	17.9	
510	18.0	
511	18.0	
512	18.1	
513	18.1	
514	18.2	
515	18.2	
516	18.2	
517	18.3	
518	18.3	
519	18.4	
520	18.4	
521	18.5	
522	18.6	
523	18.6	
524	18.7	
525	18.6	
526	18.6	
527	18.6	
528	18.8	
529	18.8	
530	18.8	
531	18.9	
532	18.9	
533	19.1	
534	19.0	
535	19.1	
536	19.1	
537	19.2	
538	19.3	
539	19.4	
540	19.3	
541	19.4	
542	19.5	
543	19.4	
544	19.6	
545	19.5	
546	19.8	
547	19.6	
548	19.8	
549	19.8	
550	19.9	
551	20.0	
552	19.9	
553	20.1	
554	20.1	
555	20.1	
556	20.2	
557	20.2	
558	20.2	
559	20.3	
560	20.3	
561	20.4	
562	20.4	
563	20.5	
564	20.5	
565	20.5	
566	20.6	
567	20.7	
568	20.7	
569	20.7	
570	20.8	
571	20.8	
572	20.9	
573	20.9	
574	21.0	
575	21.0	
576	21.1	
577	21.1	
578	21.0	
579	21.1	
580	21.2	
581	21.2	
582	21.3	
583	21.3	
584	21.4	
585	21.4	
586	21.5	
587	21.6	
588	21.6	
589	21.8	
590	21.7	
591	21.7	
592	21.8	
593	21.9	
594	21.9	
595	22.0	
596	22.0	
597	22.1	
598	22.1	
599	22.1	
600	22.2	
601	22.2	
602	22.3	
603	22.3	
604	22.4	
605	22.4	
606	22.5	
607	22.5	
608	22.6	
609	22.6	
610	22.7	
611	22.7	
612	22.8	
613	22.8	
614	22.9	
615	22.9	
616	23.0	
617	23.0	
618	23.1	
619	23.1	
620	23.2	
621	23.2	
622	23.2	
623	23.3	
624	23.4	
625	23.4	
626	23.4	
627	23.5	
628	23.5	
629	23.5	
630	23.7	
631	23.6	
632	23.7	
633	23.8	
634	23.9	
635	23.7	
636	23.8	
637	23.9	
638	23.9	
639	24.0	
640	24.0	
641	24.1	
642	24.1	
643	24.1	
644	24.2	
645	24.2	
646	24.3	
647	24.3	
648	24.4	
649	24.5	
650	24.5	
651	24.6	
652	24.6	
653	24.7	
654	24.7	
655	24.7	
656	24.8	
657	24.8	
658	24.9	
659	24.9	
660	25.0	
661	25.0	
662	25.0	
663	25.1	
664	25.2	
665	25.2	
666	25.2	
667	25.3	
668	25.3	
669	25.4	
670	25.5	
671	25.5	
672	25.5	
673	25.8	
674	25.7	
675	25.7	
676	25.7	
677	25.8	
678	25.9	
679	26.1	
680	26.1	
681	26.1	
682	26.1	
683	26.1	
684	26.2	
685	26.2	
686	26.2	
687	26.3	
688	26.3	
689	26.4	
690	26.4	
691	26.5	
692	26.6	
693	26.7	
694	26.7	
695	26.7	
696	26.8	
697	26.7	
698	26.8	
699	26.8	
700	26.8	
701	26.9	
702	27.0	
703	27.1	
704	27.1	
705	27.1	
706	27.2	
707	27.2	
708	27.3	
709	27.3	
710	27.4	
711	27.4	
712	27.5	
713	27.6	
714	27.6	
715	27.7	
716	27.8	
717	27.7	
718	27.7	
719	27.8	
720	27.8	
721	27.9	
722	27.9	
723	28.0	
724	28.0	
725	28.1	
726	28.1	
727	28.2	
728	28.1	
729	28.1	
730	28.3	
731	28.3	
732	28.3	
733	28.4	
734	28.5	
735	28.5	
736	28.5	
737	28.7	
738	28.7	
739	28.7	
740	28.8	
741	28.8	
742	28.9	
743	28.9	
744	29.0	
745	29.0	
746	29.1	
747	29.1	
748	29.3	
749	29.2	
750	29.3	
751	29.4	
752	29.5	
753	29.5	
754	29.5	
755	29.7	
756	29.7	
757	29.8	
758	29.7	
759	29.7	
760	29.7	
761	29.8	
762	29.8	
763	29.9	
764	29.9	
765	30.0	
766	30.0	
767	30.1	
768	30.1	
769	30.2	
770	30.3	
771	30.2	
772	30.3	
773	30.3	
774	30.3	
775	30.4	
776	30.4	
777	30.5	
778	30.5	
779	30.6	
780	30.6	
781	30.6	
782	30.7	
783	30.7	
784	30.9	
785	30.9	
786	31.0	
787	31.0	
788	31.1	
789	31.1	
790	31.1	
791	31.2	
792	31.2	
793	31.3	
794	31.3	
795	31.4	
796	31.4	
797	31.4	
798	31.5	
799	31.7	
800	31.6	
801	31.7	
802	31.7	
803	31.8	
804	31.9	
805	32.0	
806	32.0	
807	32.0	
808	32.0	
809	32.1	
810	32.1	
811	32.2	
812	32.2	
813	32.3	
814	32.3	
815	32.4	
816	32.4	
817	32.5	
818	32.5	
819	32.5	
820	32.6	
821	32.6	
822	32.7	
823	32.7	
824	32.8	
825	32.8	
826	32.8	
827	32.7	
828	32.9	
829	33.1	
830	33.0	
831	33.1	
832	33.1	
833	33.1	
834	33.2	
835	33.3	
836	33.3	
837	33.3	
838	33.4	
839	33.5	
840	33.5	
841	33.6	
842	33.6	
843	33.7	
844	33.7	
845	33.8	
846	33.8	
847	33.8	
848	33.9	
849	34.0	
850	34.0	
851	34.0	
852	34.1	
853	34.1	
854	34.2	
855	34.3	
856	34.3	
857	34.4	
858	34.5	
859	34.4	
860	34.5	
861	34.6	
862	34.6	
863	34.7	
864	34.7	
865	34.8	
866	34.8	
867	34.9	
868	34.9	
869	35.0	
870	35.0	
871	35.1	
872	35.1	
873	35.1	
874	35.2	
875	35.3	
876	35.3	
877	35.3	
878	35.4	
879	35.5	
880	35.5	
881	35.5	
882	35.5	
883	35.5	
884	35.7	
885	35.7	
886	35.7	
887	35.8	
888	35.8	
889	35.9	
890	35.9	
891	35.9	
892	36.0	
893	36.1	
894	36.1	
895	36.2	
896	36.2	
897	36.3	
898	36.3	
899	36.4	
900	36.4	
901	36.5	
902	36.6	
903	36.7	
904	36.6	
905	36.6	
906	36.7	
907	36.8	
908	36.9	
909	37.0	
910	37.0	
911	37.0	
912	37.0	
913	37.1	
914	37.1	
915	37.2	
916	37.2	
917	37.2	
918	37.3	
919	37.3	
920	37.4	
921	37.4	
922	37.5	
923	37.5	
924	37.6	
925	37.7	
926	37.7	
927	37.7	
928	37.9	
929	37.9	
930	37.9	
931	37.9	
932	38.0	
933	38.0	
934	38.0	
935	38.1	
936	38.1	
937	38.2	
938	38.2	
939	38.3	
940	38.3	
941	38.4	
942	38.4	
943	38.5	
944	38.5	
945	38.5	
946	38.6	
947	38.6	
948	38.7	
949	38.7	
950	38.8	
951	38.8	
952	38.9	
953	38.9	
954	39.0	
955	39.0	
956	39.1	
957	39.1	
958	39.1	
959	39.2	
960	39.3	
961	39.3	
962	39.3	
963	39.4	
964	39.4	
965	39.5	
966	39.5	
967	39.6	
968	39.6	
969	39.6	
970	39.7	
971	39.7	
972	39.8	
973	39.9	
974	39.8	
975	39.9	
976	40.0	
977	40.0	
978	40.0	
979	40.1	
980	40.2	
981	40.2	
982	40.2	
983	40.3	
984	40.3	
985	40.3	
986	40.4	
987	40.5	
988	40.5	
989	40.6	
990	40.6	
991	40.7	
992	40.7	
993	40.8	
994	40.8	
995	40.9	
996	40.9	
997	41.0	
998	41.1	
999	41.1	
1000	41.1	
1001	41.2	
1002	41.2	
1003	41.2	
1004	41.3	
1005	41.4	
1006	41.4	
1007	41.5	
1008	41.5	
1009	41.6	
1010	41.6	
1011	41.7	
1012	41.7	
1013	41.8	
1014	41.8	
1015	41.8	
1016	41.9	
1017	41.9	
1018	42.0	
1019	42.0	
1020	42.1	
1021	42.1	
1022	42.1	
1023	42.2	
1024	42.2	
1025	42.3	
1026	42.3	
1027	42.4	
1028	42.4	
1029	42.5	
1030	42.5	
1031	42.6	
1032	42.6	
1033	42.7	
1034	42.7	
1035	42.7	
1036	42.8	
1037	42.8	
1038	42.9	
1039	42.9	
1040	43.0	
1041	43.0	
1042	43.1	
1043	43.1	
1044	43.2	
1045	43.2	
1046	43.3	
1047	43.3	
1048	43.3	
1049	43.4	
1050	43.4	
1051	43.4	
1052	43.5	
1053	43.5	
1054	43.6	
1055	43.6	
1056	43.6	
1057	43.7	
1058	43.8	
1059	43.8	
1060	43.9	
1061	44.0	
1062	43.9	
1063	44.0	
1064	44.0	
1065	44.1	
1066	44.2	
1067	44.3	
1068	44.2	
1069	44.3	
1070	44.4	
1071	44.4	
1072	44.5	
1073	44.5	
1074	44.6	
1075	44.6	
1076	44.7	
1077	44.7	
1078	44.8	
1079	44.8	
1080	44.8	
1081	45.0	
1082	45.0	
1083	45.0	
1084	45.0	
1085	45.1	
1086	45.2	
1087	45.2	
1088	45.2	
1089	45.2	
1090	45.2	
1091	45.3	
1092	45.3	
1093	45.4	
1094	45.5	
1095	45.4	
1096	45.5	
1097	45.6	
1098	45.6	
1099	45.6	
1100	45.7	
1101	45.8	
1102	45.8	
1103	45.8	
1104	45.9	
1105	45.9	
1106	45.9	
1107	46.0	
1108	46.0	
1109	46.1	
1110	46.1	
1111	46.2	
1112	46.2	
1113	46.2	
1114	46.2	
1115	46.4	
1116	46.4	
1117	46.4	
1118	46.5	
1119	46.6	
1120	46.6	
1121	46.7	
1122	46.7	
1123	46.7	
1124	46.8	
1125	46.8	
1126	46.9	
1127	46.9	
1128	47.0	
1129	47.0	
1130	47.1	
1131	47.2	
1132	47.1	
1133	47.2	
1134	47.2	
1135	47.3	
1136	47.3	
1137	47.3	
1138	47.4	
1139	47.4	
1140	47.5	
1141	47.5	
1142	47.6	
1143	47.6	
1144	47.6	
1145	47.7	
1146	47.8	
1147	47.8	
1148	47.8	
1149	47.9	
1150	47.9	
1151	48.0	
1152	48.1	
1153	48.1	
1154	48.1	
1155	48.2	
1156	48.2	
1157	48.3	
1158	48.3	
1159	48.4	
1160	48.4	
1161	48.4	
1162	48.5	
1163	48.5	
1164	48.6	
1165	48.6	
1166	48.7	
1167	48.8	
1168	48.8	
1169	48.9	
1170	48.9	
1171	48.9	
1172	48.9	
1173	49.0	
1174	49.1	
1175	49.0	
1176	49.2	
1177	49.1	
1178	49.2	
1179	49.2	
1180	49.3	
1181	49.3	
1182	49.4	
1183	49.4	
1184	49.4	
1185	49.4	
1186	49.5	
1187	49.5	
1188	49.6	
1189	49.6	
1190	49.7	
1191	49.8	
1192	49.8	
1193	49.8	
1194	49.9	
1195	49.9	
1196	49.9	
1197	50.0	
1198	50.1	
1199	50.1	
1200	50.1	
1201	50.2	
1202	50.2	
1203	50.3	
1204	50.3	
1205	50.4	
1206	50.4	
1207	50.5	
1208	50.5	
1209	50.6	
1210	50.6	
1211	50.8	
1212	50.7	
1213	50.8	
1214	50.8	
1215	50.8	
1216	50.9	
1217	50.9	
1218	51.0	
1219	51.1	
1220	50.9	
1221	51.1	
1222	51.1	
1223	51.1	
1224	51.1	
1225	51.2	
1226	51.2	
1227	51.3	
1228	51.3	
1229	51.4	
1230	51.4	
1231	51.5	
1232	51.6	
1233	51.7	
1234	51.7	
1235	51.7	
1236	51.7	
1237	51.7	
1238	51.8	
1239	51.8	
1240	51.9	
1241	51.9	
1242	52.0	
1243	52.1	
1244	52.1	
1245	52.0	
1246	52.2	
1247	52.2	
1248	52.3	
1249	52.3	
1250	52.3	
1251	52.5	
1252	52.5	
1253	52.5	
1254	52.5	
1255	52.6	
1256	52.6	
1257	52.7	
1258	52.7	
1259	52.7	
1260	52.8	
1261	52.8	
1262	52.9	
1263	52.9	
1264	52.9	
1265	53.0	
1266	53.0	
1267	53.1	
1268	53.1	
1269	53.2	
1270	53.2	
1271	53.2	
1272	53.3	
1273	53.5	
1274	53.4	
1275	53.5	
1276	53.5	
1277	53.6	
1278	53.6	
1279	53.5	
1280	53.8	
1281	53.7	
1282	53.7	
1283	53.8	
1284	53.9	
1285	53.8	
1286	53.9	
1287	53.9	
1288	54.0	
1289	54.0	
1290	54.0	
1291	54.0	
1292	54.1	
1293	54.2	
1294	54.2	
1295	54.2	
1296	54.3	
1297	54.3	
1298	54.4	
1299	54.4	
1300	54.5	
1301	54.5	
1302	54.5	
1303	54.6	
1304	54.6	
1305	54.6	
1306	54.7	
1307	54.7	
1308	54.8	
1309	54.8	
1310	54.8	
1311	54.9	
1312	54.9	
1313	55.0	
1314	55.0	
1315	55.1	
1316	55.1	
1317	55.1	
1318	55.2	
1319	55.2	
1320	55.2	
1321	55.3	
1322	55.4	
1323	55.4	
1324	55.5	
1325	55.5	
1326	55.6	
1327	55.7	
1328	55.7	
1329	55.7	
1330	55.7	
1331	55.9	
1332	55.8	
1333	55.8	
1334	55.8	
1335	56.0	
1336	56.0	
1337	56.0	
1338	56.0	
1339	56.0	
1340	56.1	
1341	56.1	
1342	56.1	
1343	56.3	
1344	56.3	
1345	56.4	
1346	56.4	
1347	56.5	
1348	56.5	
1349	56.5	
1350	56.6	
1351	56.6	
1352	56.6	
1353	56.7	
1354	56.7	
1355	56.8	
1356	56.8	
1357	56.9	
1358	56.9	
1359	56.9	
1360	57.0	
1361	57.0	
1362	57.0	
1363	57.1	
1364	57.1	
1365	57.2	
1366	57.2	
1367	57.3	
1368	57.3	
1369	57.3	
1370	57.4	
1371	57.4	
1372	57.5	
1373	57.5	
1374	57.5	
1375	57.6	
1376	57.6	
1377	57.6	
1378	57.7	
1379	57.7	
1380	57.7	
1381	57.8	
1382	57.8	
1383	57.9	
1384	57.9	
1385	58.0	
1386	58.0	
1387	58.0	
1388	58.1	
1389	58.1	
1390	58.1	
1391	58.2	
1392	58.2	
1393	58.3	
1394	58.3	
1395	58.4	
1396	58.4	
1397	58.5	
1398	58.5	
1399	58.6	
1400	58.6	
1401	58.7	
1402	58.7	
1403	58.7	
1404	58.8	
1405	58.9	
1406	58.8	
1407	58.9	
1408	58.9	
1409	58.9	
1410	59.0	
1411	59.0	
1412	59.0	
1413	59.1	
1414	59.1	
1415	59.2	
1416	59.2	
1417	59.2	
1418	59.3	
1419	59.3	
1420	59.3	
1421	59.4	
1422	59.4	
1423	59.4	
1424	59.5	
1425	59.5	
1426	59.6	
1427	59.6	
1428	59.6	
1429	59.7	
1430	59.7	
1431	59.7	
1432	59.8	
1433	59.8	
1434	59.9	
1435	59.9	
1436	60.0	
1437	60.0	
1438	60.0	
1439	60.1	
1440	60.1	
1441	60.2	
1442	60.1	
1443	60.3	
1444	60.2	
1445	60.4	
1446	60.4	
1447	60.4	
1448	60.4	
1449	60.4	
1450	60.4	
1451	60.6	
1452	60.6	
1453	60.6	
1454	60.7	
1455	60.7	
1456	60.7	
1457	60.7	
1458	60.7	
1459	60.8	
1460	60.8	
1461	60.9	
1462	60.9	
1463	61.0	
1464	61.0	
1465	61.0	
1466	61.1	
1467	61.1	
1468	61.1	
1469	61.2	
1470	61.3	
1471	61.2	
1472	61.3	
1473	61.4	
1474	61.5	
1475	61.3	
1476	61.5	
1477	61.5	
1478	61.5	
1479	61.7	
1480	61.6	
1481	61.7	
1482	61.7	
1483	61.7	
1484	61.8	
1485	61.8	
1486	61.9	
1487	61.9	
1488	61.9	
1489	62.0	
1490	62.0	
1491	62.0	
1492	62.2	
1493	62.2	
1494	62.2	
1495	62.3	
1496	62.2	
1497	62.3	
1498	62.4	
1499	62.4	
1500	62.3	
1501	62.3	
1502	62.5	
1503	62.5	
1504	62.5	
1505	62.5	
1506	62.6	
1507	62.6	
1508	62.6	
1509	62.7	
1510	62.7	
1511	62.8	
1512	62.8	
1513	62.8	
1514	62.9	
1515	62.9	
1516	63.0	
1517	63.0	
1518	63.0	
1519	63.1	
1520	63.1	
1521	63.1	
1522	63.1	
1523	63.2	
1524	63.3	
1525	63.3	
1526	63.3	
1527	63.4	
1528	63.4	
1529	63.5	
1530	63.5	
1531	63.5	
1532	63.5	
1533	63.6	
1534	63.6	
1535	63.6	
1536	63.7	
1537	63.7	
1538	63.7	
1539	63.8	
1540	63.8	
1541	63.9	
1542	63.9	
1543	63.9	
1544	64.0	
1545	63.9	
1546	64.0	
1547	64.1	
1548	64.0	
1549	64.1	
1550	64.2	
1551	64.2	
1552	64.2	
1553	64.2	
1554	64.3	
1555	64.4	
1556	64.4	
1557	64.4	
1558	64.4	
1559	64.5	
1560	64.6	
1561	64.6	
1562	64.8	
1563	64.8	
1564	64.7	
1565	64.8	
1566	64.9	
1567	64.9	
1568	64.9	
1569	65.0	
1570	65.0	
1571	65.0	
1572	65.1	
1573	65.1	
1574	65.1	
1575	65.1	
1576	65.2	
1577	65.2	
1578	65.4	
1579	65.4	
1580	65.3	
1581	65.4	
1582	65.5	
1583	65.5	
1584	65.5	
1585	65.5	
1586	65.5	
1587	65.5	
1588	65.5	
1589	65.6	
1590	65.7	
1591	65.6	
1592	65.8	
1593	65.8	
1594	65.8	
1595	65.9	
1596	66.0	
1597	65.9	
1598	65.9	
1599	66.0	
1600	66.0	
1601	66.0	
1602	66.0	
1603	66.1	
1604	66.2	
1605	66.2	
1606	66.2	
1607	66.2	
1608	66.3	
1609	66.3	
1610	66.4	
1611	66.4	
1612	66.4	
1613	66.4	
1614	66.5	
1615	66.6	
1616	66.6	
1617	66.7	
1618	66.8	
1619	66.7	
1620	66.8	
1621	66.8	
1622	66.8	
1623	66.8	
1624	66.9	
1625	66.9	
1626	67.0	
1627	67.0	
1628	67.0	
1629	67.0	
1630	67.1	
1631	67.1	
1632	67.2	
1633	67.2	
1634	67.2	
1635	67.2	
1636	67.3	
1637	67.3	
1638	67.3	
1639	67.4	
1640	67.4	
1641	67.5	
1642	67.5	
1643	67.5	
1644	67.7	
1645	67.7	
1646	67.7	
1647	67.7	
1648	67.7	
1649	67.8	
1650	67.8	
1651	67.7	
1652	67.8	
1653	67.9	
1654	67.8	
1655	68.0	
1656	68.0	
1657	68.0	
1658	68.0	
1659	68.0	
1660	68.0	
1661	68.1	
1662	68.1	
1663	68.2	
1664	68.2	
1665	68.2	
1666	68.2	
1667	68.3	
1668	68.4	
1669	68.4	
1670	68.4	
1671	68.4	
1672	68.5	
1673	68.5	
1674	68.5	
1675	68.6	
1676	68.6	
1677	68.7	
1678	68.7	
1679	68.8	
1680	68.8	
1681	68.8	
1682	68.8	
1683	68.9	
1684	68.9	
1685	68.9	
1686	69.1	
1687	69.0	
1688	69.1	
1689	69.1	
1690	69.1	
1691	69.1	
1692	69.1	
1693	69.2	
1694	69.2	
1695	69.2	
1696	69.3	
1697	69.3	
1698	69.3	
1699	69.3	
1700	69.4	
1701	69.5	
1702	69.5	
1703	69.5	
1704	69.5	
1705	69.5	
1706	69.6	
1707	69.6	
1708	69.7	
1709	69.6	
1710	69.7	
1711	69.7	
1712	69.7	
1713	69.9	
1714	69.8	
1715	69.9	
1716	69.9	
1717	70.0	
1718	70.1	
1719	70.0	
1720	69.9	
1721	70.1	
1722	70.2	
1723	70.2	
1724	70.3	
1725	70.3	
1726	70.4	
1727	70.3	
1728	70.4	
1729	70.5	
1730	70.5	
1731	70.6	
1732	70.5	
1733	70.6	
1734	70.6	
1735	70.6	
1736	70.6	
1737	70.7	
1738	70.7	
1739	70.8	
1740	70.8	
1741	70.8	
1742	70.9	
1743	70.9	
1744	71.0	
1745	71.0	
1746	71.0	
1747	71.0	
1748	71.0	
1749	71.0	
1750	71.1	
1751	71.1	
1752	71.2	
1753	71.2	
1754	71.3	
1755	71.3	
1756	71.3	
1757	71.3	
1758	71.4	
1759	71.4	
1760	71.4	
1761	71.4	
1762	71.5	
1763	71.5	
1764	71.6	
1765	71.6	
1766	71.6	
1767	71.7	
1768	71.7	
1769	71.7	
1770	71.7	
1771	71.8	
1772	71.8	
1773	71.9	
1774	71.9	
1775	71.9	
