Vernier Format 2
penn4.txt 4/16/117 21:37:1
Run 1
Time	Temperature	
T	T	
s	°C	

0	0.7	
1	0.7	
2	0.7	
3	0.8	
4	0.7	
5	0.7	
6	0.7	
7	0.6	
8	0.6	
9	0.7	
10	0.7	
11	0.7	
12	0.7	
13	0.7	
14	0.7	
15	0.6	
16	0.6	
17	0.6	
18	0.6	
19	0.6	
20	0.6	
21	0.5	
22	0.6	
23	0.6	
24	0.6	
25	0.6	
26	0.6	
27	0.6	
28	0.5	
29	0.6	
30	0.6	
31	0.6	
32	0.6	
33	0.6	
34	0.5	
35	0.5	
36	0.6	
37	0.5	
38	0.5	
39	0.6	
40	0.6	
41	0.6	
42	0.6	
43	0.6	
44	0.6	
45	0.7	
46	0.6	
47	0.6	
48	0.6	
49	0.5	
50	0.5	
51	0.5	
52	0.5	
53	0.5	
54	0.5	
55	0.5	
56	0.5	
57	0.5	
58	0.5	
59	0.5	
60	0.5	
61	0.5	
62	0.5	
63	0.5	
64	0.5	
65	0.5	
66	0.5	
67	0.5	
68	0.5	
69	0.5	
70	0.5	
71	0.5	
72	0.5	
73	0.5	
74	0.5	
75	0.5	
76	0.5	
77	0.5	
78	0.5	
79	0.5	
80	0.5	
81	0.5	
82	0.5	
83	0.5	
84	0.6	
85	0.5	
86	0.6	
87	0.5	
88	0.5	
89	0.5	
90	0.6	
91	0.6	
92	0.6	
93	0.6	
94	0.6	
95	0.6	
96	0.6	
97	0.6	
98	0.6	
99	0.6	
100	0.6	
101	0.6	
102	0.6	
103	0.6	
104	0.6	
105	0.6	
106	0.6	
107	0.6	
108	0.6	
109	0.6	
110	0.6	
111	0.6	
112	0.6	
113	0.6	
114	0.6	
115	0.6	
116	0.6	
117	0.6	
118	0.7	
119	0.7	
120	0.7	
121	0.7	
122	0.7	
123	0.7	
124	0.7	
125	0.7	
126	0.7	
127	0.9	
128	0.7	
129	0.7	
130	0.7	
131	0.9	
132	0.9	
133	0.9	
134	0.9	
135	0.9	
136	0.9	
137	0.9	
138	0.9	
139	0.9	
140	0.9	
141	0.8	
142	0.8	
143	0.8	
144	0.9	
145	0.9	
146	0.9	
147	0.8	
148	0.8	
149	0.7	
150	0.8	
151	0.8	
152	0.7	
153	0.7	
154	0.8	
155	0.8	
156	0.8	
157	0.8	
158	0.8	
159	0.8	
160	0.8	
161	0.8	
162	0.8	
163	0.8	
164	0.8	
165	0.8	
166	0.8	
167	0.8	
168	0.8	
169	0.8	
170	0.9	
171	0.8	
172	0.8	
173	0.8	
174	0.8	
175	0.9	
176	0.8	
177	0.8	
178	0.8	
179	0.8	
180	0.9	
181	0.8	
182	0.8	
183	0.8	
184	0.8	
185	0.8	
186	0.8	
187	0.8	
188	0.8	
189	0.7	
190	0.8	
191	0.8	
192	0.7	
193	0.8	
194	0.8	
195	0.7	
196	0.7	
197	0.8	
198	0.7	
199	0.8	
200	0.8	
201	0.8	
202	0.8	
203	0.8	
204	0.9	
205	0.9	
206	0.9	
207	0.9	
208	0.9	
209	0.9	
210	0.9	
211	0.9	
212	0.9	
213	0.9	
214	0.9	
215	0.9	
216	0.9	
217	0.9	
218	0.9	
219	0.9	
220	0.9	
221	0.9	
222	0.9	
223	0.9	
224	0.9	
225	0.9	
226	0.9	
227	0.9	
228	0.9	
229	0.9	
230	0.9	
231	0.9	
232	0.9	
233	0.9	
234	1.0	
235	1.0	
236	1.0	
237	1.0	
238	1.0	
239	1.0	
240	1.0	
241	1.0	
242	1.0	
243	1.0	
244	1.0	
245	1.0	
246	1.0	
247	1.0	
248	1.0	
249	1.0	
250	1.0	
251	0.9	
252	1.0	
253	1.0	
254	0.9	
255	1.0	
256	1.0	
257	1.0	
258	1.0	
259	1.0	
260	1.0	
261	0.9	
262	1.0	
263	0.9	
264	1.0	
265	1.0	
266	1.0	
267	1.0	
268	1.0	
269	1.0	
270	1.0	
271	1.0	
272	1.1	
273	1.1	
274	1.1	
275	1.1	
276	1.2	
277	1.2	
278	1.2	
279	1.2	
280	1.2	
281	1.2	
282	1.3	
283	1.2	
284	1.2	
285	1.2	
286	1.2	
287	1.2	
288	1.2	
289	1.3	
290	1.2	
291	1.3	
292	1.3	
293	1.3	
294	1.3	
295	1.3	
296	1.3	
297	1.3	
298	1.3	
299	1.3	
300	1.3	
301	1.3	
302	1.3	
303	1.3	
304	1.3	
305	1.4	
306	1.3	
307	1.4	
308	1.4	
309	1.4	
310	1.3	
311	1.4	
312	1.4	
313	1.4	
314	1.4	
315	1.4	
316	1.4	
317	1.4	
318	1.4	
319	1.5	
320	1.5	
321	1.5	
322	1.5	
323	1.5	
324	1.5	
325	1.5	
326	1.5	
327	1.5	
328	1.6	
329	1.5	
330	1.5	
331	1.5	
332	1.6	
333	1.6	
334	1.6	
335	1.6	
336	1.6	
337	1.6	
338	1.6	
339	1.6	
340	1.7	
341	1.6	
342	1.6	
343	1.7	
344	1.7	
345	1.7	
346	1.7	
347	1.7	
348	1.7	
349	1.7	
350	1.7	
351	1.7	
352	1.7	
353	1.7	
354	1.7	
355	1.7	
356	1.8	
357	1.8	
358	1.7	
359	1.8	
360	1.8	
361	1.8	
362	1.8	
363	1.8	
364	1.8	
365	1.9	
366	1.9	
367	1.9	
368	1.9	
369	2.1	
370	2.1	
371	2.1	
372	2.1	
373	2.1	
374	2.1	
375	2.1	
376	2.1	
377	2.1	
378	2.1	
379	2.1	
380	2.1	
381	2.2	
382	2.1	
383	2.1	
384	2.1	
385	2.2	
386	2.2	
387	2.2	
388	2.2	
389	2.3	
390	2.3	
391	2.2	
392	2.2	
393	2.3	
394	2.3	
395	2.3	
396	2.3	
397	2.3	
398	2.4	
399	2.3	
400	2.3	
401	2.3	
402	2.3	
403	2.4	
404	2.4	
405	2.3	
406	2.3	
407	2.4	
408	2.4	
409	2.4	
410	2.3	
411	2.4	
412	2.4	
413	2.4	
414	2.4	
415	2.4	
416	2.4	
417	2.4	
418	2.4	
419	2.4	
420	2.4	
421	2.4	
422	2.4	
423	2.5	
424	2.4	
425	2.5	
426	2.5	
427	2.5	
428	2.5	
429	2.5	
430	2.5	
431	2.6	
432	2.5	
433	2.5	
434	2.6	
435	2.6	
436	2.6	
437	2.6	
438	2.6	
439	2.6	
440	2.6	
441	2.6	
442	2.7	
443	2.7	
444	2.7	
445	2.7	
446	2.7	
447	2.7	
448	2.7	
449	2.8	
450	2.7	
451	2.7	
452	2.8	
453	2.8	
454	2.7	
455	2.7	
456	2.7	
457	2.8	
458	2.7	
459	2.8	
460	2.8	
461	2.8	
462	2.8	
463	2.8	
464	2.8	
465	2.9	
466	2.9	
467	2.9	
468	3.0	
469	2.9	
470	3.0	
471	3.0	
472	3.0	
473	3.0	
474	3.1	
475	3.1	
476	3.1	
477	3.1	
478	3.1	
479	3.1	
480	3.2	
481	3.2	
482	3.3	
483	3.2	
484	3.2	
485	3.3	
486	3.3	
487	3.3	
488	3.3	
489	3.3	
490	3.3	
491	3.4	
492	3.4	
493	3.4	
494	3.4	
495	3.4	
496	3.4	
497	3.4	
498	3.5	
499	3.5	
500	3.5	
501	3.5	
502	3.5	
503	3.5	
504	3.5	
505	3.5	
506	3.5	
507	3.5	
508	3.6	
509	3.6	
510	3.6	
511	3.6	
512	3.7	
513	3.6	
514	3.6	
515	3.7	
516	3.7	
517	3.7	
518	3.7	
519	3.7	
520	3.7	
521	3.8	
522	3.8	
523	3.7	
524	3.8	
525	3.8	
526	3.8	
527	3.9	
528	3.8	
529	3.9	
530	3.9	
531	3.9	
532	3.9	
533	3.9	
534	4.0	
535	3.9	
536	4.0	
537	4.0	
538	4.0	
539	4.0	
540	4.0	
541	4.0	
542	4.1	
543	4.0	
544	4.1	
545	4.1	
546	4.1	
547	4.1	
548	4.2	
549	4.2	
550	4.2	
551	4.2	
552	4.2	
553	4.2	
554	4.2	
555	4.2	
556	4.2	
557	4.3	
558	4.3	
559	4.3	
560	4.3	
561	4.4	
562	4.5	
563	4.5	
564	4.5	
565	4.5	
566	4.5	
567	4.4	
568	4.4	
569	4.4	
570	4.4	
571	4.5	
572	4.5	
573	4.5	
574	4.6	
575	4.6	
576	4.6	
577	4.5	
578	4.6	
579	4.6	
580	4.6	
581	4.6	
582	4.6	
583	4.6	
584	4.6	
585	4.6	
586	4.7	
587	4.7	
588	4.8	
589	4.8	
590	4.9	
591	4.8	
592	4.8	
593	4.9	
594	4.8	
595	4.8	
596	4.8	
597	4.8	
598	4.9	
599	4.9	
600	4.9	
601	4.9	
602	4.9	
603	5.0	
604	5.0	
605	5.0	
606	4.9	
607	4.9	
608	5.0	
609	4.9	
610	4.9	
611	5.0	
612	5.0	
613	5.0	
614	5.1	
615	5.1	
616	5.1	
617	5.1	
618	5.1	
619	5.1	
620	5.2	
621	5.2	
622	5.2	
623	5.2	
624	5.2	
625	5.2	
626	5.3	
627	5.3	
628	5.3	
629	5.3	
630	5.3	
631	5.4	
632	5.4	
633	5.4	
634	5.5	
635	5.4	
636	5.4	
637	5.5	
638	5.5	
639	5.5	
640	5.5	
641	5.5	
642	5.6	
643	5.6	
644	5.6	
645	5.6	
646	5.6	
647	5.7	
648	5.7	
649	5.7	
650	5.7	
651	5.7	
652	5.7	
653	5.7	
654	5.7	
655	5.7	
656	5.8	
657	5.7	
658	5.8	
659	5.8	
660	5.8	
661	5.8	
662	5.8	
663	5.9	
664	5.9	
665	5.9	
666	5.9	
667	5.9	
668	5.9	
669	5.9	
670	5.9	
671	5.9	
672	5.9	
673	6.0	
674	6.0	
675	6.0	
676	6.0	
677	6.0	
678	6.0	
679	6.1	
680	6.1	
681	6.1	
682	6.1	
683	6.1	
684	6.1	
685	6.2	
686	6.2	
687	6.2	
688	6.2	
689	6.1	
690	6.1	
691	6.2	
692	6.3	
693	6.2	
694	6.3	
695	6.3	
696	6.3	
697	6.3	
698	6.4	
699	6.4	
700	6.5	
701	6.5	
702	6.5	
703	6.5	
704	6.5	
705	6.5	
706	6.5	
707	6.6	
708	6.6	
709	6.6	
710	6.6	
711	6.6	
712	6.6	
713	6.6	
714	6.6	
715	6.6	
716	6.7	
717	6.9	
718	6.8	
719	6.8	
720	6.8	
721	6.8	
722	6.8	
723	6.8	
724	6.7	
725	6.8	
726	6.8	
727	6.8	
728	6.8	
729	6.8	
730	6.9	
731	6.9	
732	6.9	
733	6.9	
734	6.9	
735	6.9	
736	7.0	
737	6.9	
738	6.9	
739	6.9	
740	7.0	
741	6.9	
742	7.0	
743	7.1	
744	7.0	
745	7.1	
746	7.2	
747	7.2	
748	7.2	
749	7.2	
750	7.2	
751	7.2	
752	7.3	
753	7.2	
754	7.2	
755	7.3	
756	7.3	
757	7.3	
758	7.4	
759	7.4	
760	7.4	
761	7.4	
762	7.4	
763	7.4	
764	7.4	
765	7.5	
766	7.5	
767	7.5	
768	7.5	
769	7.5	
770	7.5	
771	7.6	
772	7.6	
773	7.7	
774	7.7	
775	7.7	
776	7.7	
777	7.7	
778	7.7	
779	7.7	
780	7.7	
781	7.7	
782	7.7	
783	7.7	
784	7.7	
785	7.7	
786	7.7	
787	7.7	
788	7.8	
789	7.8	
790	7.8	
791	7.8	
792	7.8	
793	7.9	
794	7.9	
795	7.9	
796	7.9	
797	7.9	
798	7.9	
799	7.9	
800	8.0	
801	8.0	
802	8.0	
803	8.0	
804	8.0	
805	8.1	
806	8.1	
807	8.1	
808	8.1	
809	8.1	
810	8.1	
811	8.1	
812	8.2	
813	8.2	
814	8.2	
815	8.2	
816	8.2	
817	8.3	
818	8.2	
819	8.2	
820	8.2	
821	8.3	
822	8.3	
823	8.3	
824	8.3	
825	8.3	
826	8.4	
827	8.4	
828	8.4	
829	8.4	
830	8.5	
831	8.5	
832	8.5	
833	8.5	
834	8.5	
835	8.5	
836	8.6	
837	8.6	
838	8.6	
839	8.6	
840	8.6	
841	8.6	
842	8.7	
843	8.7	
844	8.7	
845	8.7	
846	8.7	
847	8.7	
848	8.8	
849	8.9	
850	9.0	
851	9.0	
852	9.0	
853	8.9	
854	8.9	
855	8.9	
856	8.9	
857	8.9	
858	8.9	
859	8.9	
860	9.0	
861	8.9	
862	9.0	
863	9.0	
864	9.1	
865	9.1	
866	9.1	
867	9.1	
868	9.1	
869	9.1	
870	9.1	
871	9.1	
872	9.1	
873	9.1	
874	9.1	
875	9.2	
876	9.2	
877	9.2	
878	9.2	
879	9.3	
880	9.2	
881	9.3	
882	9.2	
883	9.3	
884	9.3	
885	9.3	
886	9.3	
887	9.3	
888	9.4	
889	9.4	
890	9.4	
891	9.4	
892	9.5	
893	9.5	
894	9.5	
895	9.5	
896	9.5	
897	9.6	
898	9.6	
899	9.6	
900	9.6	
901	9.6	
902	9.6	
903	9.6	
904	9.7	
905	9.7	
906	9.7	
907	9.7	
908	9.7	
909	9.7	
910	9.8	
911	9.8	
912	9.8	
913	9.8	
914	9.8	
915	9.8	
916	9.9	
917	9.9	
918	9.9	
919	9.9	
920	9.9	
921	9.9	
922	10.0	
923	10.0	
924	10.1	
925	10.1	
926	10.1	
927	10.1	
928	10.1	
929	10.2	
930	10.2	
931	10.2	
932	10.2	
933	10.2	
934	10.3	
935	10.3	
936	10.4	
937	10.4	
938	10.4	
939	10.3	
940	10.4	
941	10.5	
942	10.4	
943	10.5	
944	10.5	
945	10.4	
946	10.4	
947	10.5	
948	10.5	
949	10.4	
950	10.6	
951	10.5	
952	10.6	
953	10.5	
954	10.6	
955	10.7	
956	10.7	
957	10.6	
958	10.6	
959	10.7	
960	10.7	
961	10.8	
962	10.8	
963	10.8	
964	10.7	
965	10.8	
966	10.8	
967	10.8	
968	10.8	
969	10.8	
970	10.8	
971	10.8	
972	10.9	
973	10.9	
974	10.8	
975	11.0	
976	11.0	
977	10.9	
978	11.0	
979	11.0	
980	10.9	
981	10.9	
982	10.9	
983	11.0	
984	11.0	
985	11.1	
986	11.1	
987	11.1	
988	11.1	
989	11.1	
990	11.1	
991	11.1	
992	11.1	
993	11.2	
994	11.4	
995	11.2	
996	11.3	
997	11.4	
998	11.3	
999	11.4	
1000	11.4	
1001	11.4	
1002	11.4	
1003	11.4	
1004	11.4	
1005	11.5	
1006	11.5	
1007	11.5	
1008	11.5	
1009	11.6	
1010	11.6	
1011	11.5	
1012	11.6	
1013	11.5	
1014	11.6	
1015	11.6	
1016	11.6	
1017	11.6	
1018	11.7	
1019	11.7	
1020	11.7	
1021	11.6	
1022	11.7	
1023	11.7	
1024	11.8	
1025	11.6	
1026	11.7	
1027	11.7	
1028	11.6	
1029	11.9	
1030	11.7	
1031	11.7	
1032	11.8	
1033	11.7	
1034	11.7	
1035	11.8	
1036	11.9	
1037	11.8	
1038	11.9	
1039	11.8	
1040	11.9	
1041	11.8	
1042	11.9	
1043	11.8	
1044	12.0	
1045	11.9	
1046	12.0	
1047	12.1	
1048	11.9	
1049	12.1	
1050	12.0	
1051	12.0	
1052	12.1	
1053	12.0	
1054	12.0	
1055	12.0	
1056	12.1	
1057	12.1	
1058	12.1	
1059	12.1	
1060	12.1	
1061	12.2	
1062	12.2	
1063	12.3	
1064	12.3	
1065	12.3	
1066	12.3	
1067	12.3	
1068	12.2	
1069	12.5	
1070	12.4	
1071	12.4	
1072	12.4	
1073	12.3	
1074	12.5	
1075	12.5	
1076	12.5	
1077	12.6	
1078	12.5	
1079	12.7	
1080	12.6	
1081	12.6	
1082	12.7	
1083	12.7	
1084	12.7	
1085	12.8	
1086	12.7	
1087	12.7	
1088	12.8	
1089	12.7	
1090	12.8	
1091	12.8	
1092	12.8	
1093	12.7	
1094	12.7	
1095	12.8	
1096	12.8	
1097	12.8	
1098	12.8	
1099	12.8	
1100	12.8	
1101	12.8	
1102	12.8	
1103	12.9	
1104	12.9	
1105	12.9	
1106	12.9	
1107	12.9	
1108	13.0	
1109	13.0	
1110	13.0	
1111	13.0	
1112	13.0	
1113	13.0	
1114	13.0	
1115	13.1	
1116	13.1	
1117	13.1	
1118	13.1	
1119	13.1	
1120	13.1	
1121	13.2	
1122	13.2	
1123	13.2	
1124	13.2	
1125	13.2	
1126	13.2	
1127	13.2	
1128	13.3	
1129	13.3	
1130	13.3	
1131	13.3	
1132	13.3	
1133	13.3	
1134	13.3	
1135	13.4	
1136	13.4	
1137	13.4	
1138	13.4	
1139	13.4	
1140	13.4	
1141	13.5	
1142	13.5	
1143	13.5	
1144	13.6	
1145	13.6	
1146	13.6	
1147	13.8	
1148	13.9	
1149	13.9	
1150	13.8	
1151	13.8	
1152	13.7	
1153	13.7	
1154	13.6	
1155	13.5	
1156	13.8	
1157	13.7	
1158	13.8	
1159	13.9	
1160	13.8	
1161	13.8	
1162	13.8	
1163	13.9	
1164	13.9	
1165	13.8	
1166	13.9	
1167	13.9	
1168	13.9	
1169	13.9	
1170	14.0	
1171	14.0	
1172	14.0	
1173	14.0	
1174	14.0	
1175	14.0	
1176	14.1	
1177	14.1	
1178	14.1	
1179	14.1	
1180	14.1	
1181	14.1	
1182	14.0	
1183	14.2	
1184	14.2	
1185	14.1	
1186	14.1	
1187	14.2	
1188	14.1	
1189	14.2	
1190	14.2	
1191	14.3	
1192	14.3	
1193	14.3	
1194	14.3	
1195	14.3	
1196	14.3	
1197	14.3	
1198	14.4	
1199	14.5	
1200	14.4	
1201	14.4	
1202	14.4	
1203	14.4	
1204	14.5	
1205	14.6	
1206	14.5	
1207	14.6	
1208	14.6	
1209	14.7	
1210	14.6	
1211	14.6	
1212	14.7	
1213	14.7	
1214	14.7	
1215	14.7	
1216	14.7	
1217	14.7	
1218	14.7	
1219	14.8	
1220	14.8	
1221	14.8	
1222	14.8	
1223	14.8	
1224	14.9	
1225	14.8	
1226	14.9	
1227	14.9	
1228	14.9	
1229	14.9	
1230	14.9	
1231	14.9	
1232	14.9	
1233	15.0	
1234	15.0	
1235	15.0	
1236	15.0	
1237	15.0	
1238	15.0	
1239	15.0	
1240	15.1	
1241	15.1	
1242	15.1	
1243	15.1	
1244	15.1	
1245	15.2	
1246	15.3	
1247	15.3	
1248	15.3	
1249	15.3	
1250	15.4	
1251	15.4	
1252	15.3	
1253	15.4	
1254	15.2	
1255	15.3	
1256	15.4	
1257	15.1	
1258	15.3	
1259	15.4	
1260	15.4	
1261	15.4	
1262	15.4	
1263	15.4	
1264	15.4	
1265	15.5	
1266	15.5	
1267	15.5	
1268	15.5	
1269	15.4	
1270	15.5	
1271	15.5	
1272	15.5	
1273	15.6	
1274	15.6	
1275	15.5	
1276	15.7	
1277	15.7	
1278	15.8	
1279	15.7	
1280	15.7	
1281	15.7	
1282	15.7	
1283	15.7	
1284	15.8	
1285	15.8	
1286	15.8	
1287	15.8	
1288	15.8	
1289	15.8	
1290	15.9	
1291	15.9	
1292	15.9	
1293	15.9	
1294	15.9	
1295	15.9	
1296	16.0	
1297	16.0	
1298	16.1	
1299	16.2	
1300	16.2	
1301	16.1	
1302	16.1	
1303	16.0	
1304	16.0	
1305	16.1	
1306	16.2	
1307	16.0	
1308	16.1	
1309	16.1	
1310	16.2	
1311	16.2	
1312	16.2	
1313	16.2	
1314	16.2	
1315	16.3	
1316	16.3	
1317	16.3	
1318	16.3	
1319	16.3	
1320	16.3	
1321	16.3	
1322	16.4	
1323	16.4	
1324	16.4	
1325	16.5	
1326	16.4	
1327	16.5	
1328	16.6	
1329	16.5	
1330	16.5	
1331	16.5	
1332	16.5	
1333	16.5	
1334	16.6	
1335	16.6	
1336	16.6	
1337	16.7	
1338	16.7	
1339	16.7	
1340	16.7	
1341	16.7	
1342	16.8	
1343	16.9	
1344	16.9	
1345	16.9	
1346	16.9	
1347	16.8	
1348	16.7	
1349	16.8	
1350	16.8	
1351	16.9	
1352	16.8	
1353	16.9	
1354	16.9	
1355	16.9	
1356	16.9	
1357	17.0	
1358	17.0	
1359	17.0	
1360	17.0	
1361	17.0	
1362	17.0	
1363	17.1	
1364	17.1	
1365	17.1	
1366	17.1	
1367	17.1	
1368	17.1	
1369	17.1	
1370	17.2	
1371	17.1	
1372	17.1	
1373	17.2	
1374	17.2	
1375	17.2	
1376	17.2	
1377	17.2	
1378	17.3	
1379	17.3	
1380	17.4	
1381	17.3	
1382	17.4	
1383	17.3	
1384	17.5	
1385	17.5	
1386	17.5	
1387	17.3	
1388	17.4	
1389	17.5	
1390	17.4	
1391	17.6	
1392	17.5	
1393	17.5	
1394	17.5	
1395	17.5	
1396	17.6	
1397	17.6	
1398	17.6	
1399	17.5	
1400	17.6	
1401	17.6	
1402	17.6	
1403	17.7	
1404	17.6	
1405	17.7	
1406	17.7	
1407	17.7	
1408	17.8	
1409	17.8	
1410	17.8	
1411	17.8	
1412	17.8	
1413	17.8	
1414	17.9	
1415	17.9	
1416	17.9	
1417	17.9	
1418	17.9	
1419	17.9	
1420	17.9	
1421	18.0	
1422	18.0	
1423	18.0	
1424	18.0	
1425	18.0	
1426	18.0	
1427	18.1	
1428	18.1	
1429	18.1	
1430	18.1	
1431	18.1	
1432	18.1	
1433	18.1	
1434	18.2	
1435	18.2	
1436	18.2	
1437	18.1	
1438	18.3	
1439	18.2	
1440	18.2	
1441	18.3	
1442	18.4	
1443	18.3	
1444	18.3	
1445	18.3	
1446	18.4	
1447	18.4	
1448	18.4	
1449	18.4	
1450	18.4	
1451	18.4	
1452	18.5	
1453	18.5	
1454	18.5	
1455	18.6	
1456	18.6	
1457	18.6	
1458	18.6	
1459	18.6	
1460	18.6	
1461	18.6	
1462	18.9	
1463	18.6	
1464	18.7	
1465	18.6	
1466	18.7	
1467	18.6	
1468	18.7	
1469	18.7	
1470	18.7	
1471	18.7	
1472	18.7	
1473	18.8	
1474	18.8	
1475	18.8	
1476	18.8	
1477	18.8	
1478	18.8	
1479	18.9	
1480	18.9	
1481	18.9	
1482	18.9	
1483	18.9	
1484	18.9	
1485	18.8	
1486	18.9	
1487	19.0	
1488	19.0	
1489	18.9	
1490	18.9	
1491	19.0	
1492	19.0	
1493	19.0	
1494	19.0	
1495	19.1	
1496	19.1	
1497	19.1	
1498	19.1	
1499	19.2	
1500	19.1	
1501	19.2	
1502	19.2	
1503	19.2	
1504	19.4	
1505	19.2	
1506	19.4	
1507	19.3	
1508	19.3	
1509	19.4	
1510	19.3	
1511	19.4	
1512	19.4	
1513	19.4	
1514	19.4	
1515	19.4	
1516	19.4	
1517	19.4	
1518	19.5	
1519	19.5	
1520	19.5	
1521	19.5	
1522	19.5	
1523	19.5	
1524	19.5	
1525	19.5	
1526	19.6	
1527	19.6	
1528	19.6	
1529	19.5	
1530	19.7	
1531	19.7	
1532	19.7	
1533	19.7	
1534	19.7	
1535	19.7	
1536	19.8	
1537	19.8	
1538	19.7	
1539	19.8	
1540	19.9	
1541	19.9	
1542	19.9	
1543	19.9	
1544	20.0	
1545	19.9	
1546	19.9	
1547	19.9	
1548	20.1	
1549	19.9	
1550	20.0	
1551	20.1	
1552	19.9	
1553	20.3	
1554	19.8	
1555	20.1	
1556	20.0	
1557	20.0	
1558	20.1	
1559	20.1	
1560	20.1	
1561	20.2	
1562	20.3	
1563	20.2	
1564	20.3	
1565	20.2	
1566	20.3	
1567	20.2	
1568	20.3	
1569	20.3	
1570	20.3	
1571	20.3	
1572	20.3	
1573	20.4	
1574	20.3	
1575	20.4	
1576	20.2	
1577	20.4	
1578	20.7	
1579	20.5	
1580	20.4	
1581	20.5	
1582	20.5	
1583	20.5	
1584	20.5	
1585	20.5	
1586	20.5	
1587	20.6	
1588	20.7	
1589	20.6	
1590	20.5	
1591	20.7	
1592	20.7	
1593	20.8	
1594	20.8	
1595	20.6	
1596	20.7	
1597	20.8	
1598	20.7	
1599	20.7	
1600	20.7	
1601	20.9	
1602	20.9	
1603	20.9	
1604	20.9	
1605	21.0	
1606	20.8	
1607	20.9	
1608	20.9	
1609	20.9	
1610	20.9	
1611	20.9	
1612	21.0	
1613	21.0	
1614	21.0	
1615	21.0	
1616	21.0	
1617	21.0	
1618	21.0	
1619	21.0	
1620	21.1	
1621	21.1	
1622	21.1	
1623	21.1	
1624	21.1	
1625	21.2	
1626	21.2	
1627	21.2	
1628	21.2	
1629	21.2	
1630	21.2	
1631	21.3	
1632	21.2	
1633	21.3	
1634	21.3	
1635	21.3	
1636	21.3	
1637	21.3	
1638	21.3	
1639	21.4	
1640	21.4	
1641	21.4	
1642	21.4	
1643	21.4	
1644	21.4	
1645	21.4	
1646	21.4	
1647	21.5	
1648	21.5	
1649	21.5	
1650	21.5	
1651	21.5	
1652	21.6	
1653	21.6	
1654	21.6	
1655	21.6	
1656	21.6	
1657	21.6	
1658	21.7	
1659	21.7	
1660	21.7	
1661	21.7	
1662	21.7	
1663	21.7	
1664	21.7	
1665	21.9	
1666	21.2	
1667	22.0	
1668	21.7	
1669	21.8	
1670	21.8	
1671	21.9	
1672	21.9	
1673	21.9	
1674	21.9	
1675	21.9	
1676	21.9	
1677	21.9	
1678	22.0	
1679	22.0	
1680	22.0	
1681	22.0	
1682	22.0	
1683	22.0	
1684	22.1	
1685	22.1	
1686	22.1	
1687	22.1	
1688	22.1	
1689	22.1	
1690	22.1	
1691	22.2	
1692	22.2	
1693	22.2	
1694	22.2	
1695	22.2	
1696	22.2	
1697	22.2	
1698	22.3	
1699	22.3	
1700	22.3	
1701	22.3	
1702	22.4	
1703	22.3	
1704	22.3	
1705	22.3	
1706	22.4	
1707	22.5	
1708	22.5	
1709	22.3	
1710	22.6	
1711	22.5	
1712	22.5	
1713	22.5	
1714	22.5	
1715	22.5	
1716	22.6	
1717	22.7	
1718	22.6	
1719	22.6	
1720	22.7	
1721	22.7	
1722	22.9	
1723	22.7	
1724	22.9	
1725	22.7	
1726	22.7	
1727	22.7	
1728	22.7	
1729	22.7	
1730	22.8	
1731	22.8	
1732	22.8	
1733	22.8	
1734	22.8	
1735	22.8	
1736	22.9	
1737	22.9	
1738	22.9	
1739	22.9	
1740	22.9	
1741	22.9	
1742	23.0	
1743	23.0	
1744	23.0	
1745	23.1	
1746	23.0	
1747	23.2	
1748	23.2	
1749	23.0	
1750	23.1	
1751	23.0	
1752	23.1	
1753	23.1	
1754	23.1	
1755	23.1	
1756	23.3	
1757	23.1	
1758	23.2	
1759	23.3	
1760	23.3	
1761	23.2	
1762	23.2	
1763	23.3	
1764	23.3	
1765	23.3	
1766	23.3	
1767	23.3	
1768	23.3	
1769	23.4	
1770	23.4	
1771	23.4	
1772	23.4	
1773	23.4	
1774	23.6	
1775	23.6	
