Vernier Format 2
penn2.txt 4/15/117 22:57:18
Run 1
Time	Temperature	
T	T	
s	°C	

0	1.1	
1	1.3	
2	1.2	
3	1.3	
4	1.3	
5	1.3	
6	1.3	
7	1.3	
8	1.3	
9	1.3	
10	1.3	
11	1.3	
12	1.3	
13	1.3	
14	1.3	
15	1.3	
16	1.3	
17	1.2	
18	1.2	
19	1.2	
20	1.2	
21	1.3	
22	1.3	
23	1.3	
24	1.3	
25	1.3	
26	1.3	
27	1.3	
28	1.3	
29	1.3	
30	1.3	
31	1.3	
32	1.3	
33	1.6	
34	1.5	
35	1.5	
36	1.6	
37	1.5	
38	1.4	
39	1.4	
40	1.3	
41	1.6	
42	1.4	
43	1.3	
44	1.4	
45	1.3	
46	1.3	
47	1.3	
48	1.3	
49	1.4	
50	1.4	
51	1.4	
52	1.4	
53	1.4	
54	1.4	
55	1.3	
56	1.4	
57	1.4	
58	1.4	
59	1.4	
60	1.4	
61	1.4	
62	1.4	
63	1.5	
64	1.5	
65	1.5	
66	1.5	
67	1.4	
68	1.4	
69	1.4	
70	1.4	
71	1.4	
72	1.5	
73	1.4	
74	1.5	
75	1.5	
76	1.5	
77	1.5	
78	1.5	
79	1.6	
80	1.6	
81	1.6	
82	1.6	
83	1.6	
84	1.6	
85	1.7	
86	1.7	
87	1.7	
88	1.7	
89	1.7	
90	1.7	
91	1.8	
92	1.7	
93	1.8	
94	1.8	
95	1.8	
96	1.8	
97	1.8	
98	1.8	
99	1.8	
100	1.8	
101	1.7	
102	1.9	
103	1.8	
104	1.9	
105	1.9	
106	1.8	
107	1.9	
108	2.0	
109	2.0	
110	2.1	
111	2.1	
112	2.1	
113	2.1	
114	2.1	
115	2.1	
116	2.1	
117	2.2	
118	2.2	
119	2.2	
120	2.2	
121	2.2	
122	2.2	
123	2.4	
124	2.3	
125	2.3	
126	2.4	
127	2.4	
128	2.4	
129	2.6	
130	2.6	
131	2.7	
132	2.7	
133	2.7	
134	2.6	
135	2.6	
136	2.6	
137	2.6	
138	2.7	
139	2.7	
140	2.7	
141	2.7	
142	2.7	
143	2.7	
144	2.7	
145	2.8	
146	2.8	
147	2.8	
148	2.9	
149	2.8	
150	2.9	
151	3.0	
152	3.0	
153	3.0	
154	3.0	
155	3.3	
156	3.1	
157	3.1	
158	3.1	
159	3.3	
160	3.2	
161	3.2	
162	3.1	
163	3.2	
164	3.3	
165	3.2	
166	3.1	
167	3.4	
168	3.4	
169	3.5	
170	3.4	
171	3.5	
172	3.5	
173	3.5	
174	3.5	
175	3.6	
176	3.6	
177	3.7	
178	3.6	
179	3.7	
180	3.8	
181	3.9	
182	4.0	
183	4.0	
184	3.9	
185	3.9	
186	3.9	
187	3.9	
188	4.0	
189	4.0	
190	4.0	
191	4.0	
192	4.0	
193	4.1	
194	4.1	
195	4.2	
196	4.2	
197	4.2	
198	4.2	
199	4.3	
200	4.3	
201	4.4	
202	4.4	
203	4.4	
204	4.5	
205	4.4	
206	4.5	
207	4.4	
208	4.4	
209	4.5	
210	4.5	
211	4.6	
212	4.6	
213	4.6	
214	4.6	
215	4.7	
216	4.7	
217	4.7	
218	4.8	
219	4.9	
220	4.9	
221	4.9	
222	4.9	
223	5.0	
224	5.0	
225	5.0	
226	5.0	
227	5.1	
228	5.1	
229	5.2	
230	5.2	
231	5.2	
232	5.2	
233	5.3	
234	5.3	
235	5.3	
236	5.4	
237	5.4	
238	5.4	
239	5.5	
240	5.6	
241	5.6	
242	5.4	
243	5.6	
244	5.6	
245	5.7	
246	5.7	
247	5.7	
248	5.8	
249	5.8	
250	5.7	
251	5.9	
252	5.9	
253	5.9	
254	5.9	
255	5.9	
256	6.1	
257	6.1	
258	6.0	
259	6.1	
260	6.2	
261	6.1	
262	6.2	
263	6.3	
264	6.3	
265	6.3	
266	6.3	
267	6.3	
268	6.4	
269	6.4	
270	6.4	
271	6.5	
272	6.5	
273	6.5	
274	6.6	
275	6.6	
276	6.7	
277	6.7	
278	6.7	
279	6.8	
280	6.8	
281	6.8	
282	6.9	
283	6.9	
284	6.9	
285	6.9	
286	7.0	
287	7.0	
288	7.1	
289	7.1	
290	7.2	
291	7.2	
292	7.2	
293	7.2	
294	7.3	
295	7.3	
296	7.3	
297	7.4	
298	7.4	
299	7.5	
300	7.5	
301	7.5	
302	7.5	
303	7.6	
304	7.6	
305	7.6	
306	7.7	
307	7.7	
308	7.8	
309	7.7	
310	7.8	
311	7.7	
312	7.8	
313	8.0	
314	8.1	
315	8.2	
316	8.2	
317	8.1	
318	8.1	
319	8.1	
320	8.1	
321	8.2	
322	8.2	
323	8.2	
324	8.3	
325	8.3	
326	8.4	
327	8.4	
328	8.4	
329	8.5	
330	8.5	
331	8.5	
332	8.5	
333	8.5	
334	8.6	
335	8.7	
336	8.7	
337	8.7	
338	8.8	
339	8.8	
340	8.8	
341	8.9	
342	8.9	
343	9.0	
344	9.1	
345	9.1	
346	9.0	
347	9.2	
348	9.2	
349	9.3	
350	9.3	
351	9.3	
352	9.3	
353	9.3	
354	9.4	
355	9.4	
356	9.4	
357	9.4	
358	9.5	
359	9.5	
360	9.5	
361	9.6	
362	9.6	
363	9.8	
364	9.6	
365	9.8	
366	9.7	
367	9.7	
368	9.8	
369	9.8	
370	9.9	
371	9.9	
372	9.9	
373	10.0	
374	10.0	
375	10.0	
376	10.1	
377	10.1	
378	10.1	
379	10.3	
380	10.3	
381	10.3	
382	10.4	
383	10.4	
384	10.5	
385	10.5	
386	10.6	
387	10.6	
388	10.6	
389	10.6	
390	10.6	
391	10.7	
392	10.7	
393	10.8	
394	10.7	
395	10.7	
396	10.8	
397	10.9	
398	10.9	
399	10.9	
400	10.9	
401	11.0	
402	11.0	
403	11.1	
404	11.1	
405	11.1	
406	11.2	
407	11.3	
408	11.3	
409	11.4	
410	11.4	
411	11.4	
412	11.4	
413	11.5	
414	11.5	
415	11.5	
416	11.6	
417	11.6	
418	11.7	
419	11.7	
420	11.9	
421	11.9	
422	12.0	
423	11.9	
424	11.9	
425	11.9	
426	12.0	
427	12.0	
428	12.0	
429	12.1	
430	12.1	
431	12.1	
432	12.2	
433	12.2	
434	12.2	
435	12.2	
436	12.3	
437	12.3	
438	12.4	
439	12.4	
440	12.5	
441	12.5	
442	12.5	
443	12.6	
444	12.6	
445	12.6	
446	12.7	
447	12.7	
448	12.8	
449	12.8	
450	12.9	
451	13.0	
452	13.0	
453	13.0	
454	13.0	
455	13.0	
456	12.4	
457	13.1	
458	13.1	
459	13.1	
460	13.1	
461	13.2	
462	13.2	
463	13.3	
464	13.3	
465	13.4	
466	13.4	
467	13.4	
468	13.4	
469	13.4	
470	13.5	
471	13.6	
472	13.7	
473	13.6	
474	13.7	
475	13.7	
476	13.8	
477	13.8	
478	13.9	
479	13.9	
480	13.9	
481	14.0	
482	14.0	
483	14.0	
484	14.1	
485	14.1	
486	14.2	
487	14.2	
488	14.3	
489	14.3	
490	14.3	
491	14.4	
492	14.4	
493	14.6	
494	14.6	
495	14.6	
496	14.6	
497	14.7	
498	14.7	
499	14.7	
500	14.6	
501	14.8	
502	14.6	
503	14.8	
504	14.8	
505	14.9	
506	14.9	
507	14.9	
508	14.9	
509	15.0	
510	15.0	
511	15.0	
512	15.1	
513	15.1	
514	15.2	
515	15.2	
516	15.3	
517	15.3	
518	15.3	
519	15.3	
520	15.4	
521	15.4	
522	15.4	
523	15.5	
524	15.5	
525	15.6	
526	15.7	
527	15.7	
528	15.7	
529	15.7	
530	15.8	
531	15.4	
532	15.8	
533	15.9	
534	15.9	
535	15.9	
536	16.0	
537	16.0	
538	16.0	
539	16.1	
540	16.1	
541	16.2	
542	16.2	
543	16.3	
544	16.3	
545	16.3	
546	16.4	
547	16.4	
548	16.4	
549	16.5	
550	16.5	
551	16.5	
552	16.6	
553	16.6	
554	16.7	
555	16.7	
556	16.8	
557	16.8	
558	16.8	
559	16.9	
560	16.9	
561	16.9	
562	17.0	
563	17.0	
564	17.1	
565	17.1	
566	17.2	
567	17.2	
568	17.2	
569	17.3	
570	17.4	
571	17.5	
572	17.5	
573	17.5	
574	17.6	
575	17.5	
576	17.7	
577	17.7	
578	17.7	
579	17.7	
580	17.7	
581	17.7	
582	17.7	
583	17.8	
584	17.8	
585	17.9	
586	17.8	
587	17.9	
588	17.9	
589	18.0	
590	18.1	
591	18.0	
592	18.0	
593	18.2	
594	18.2	
595	18.3	
596	18.2	
597	18.2	
598	18.3	
599	18.4	
600	18.5	
601	18.5	
602	18.5	
603	18.6	
604	18.6	
605	18.6	
606	18.7	
607	18.7	
608	18.7	
609	18.8	
610	18.8	
611	18.9	
612	18.9	
613	18.9	
614	19.0	
615	19.0	
616	19.0	
617	19.1	
618	19.1	
619	19.1	
620	19.1	
621	19.2	
622	19.2	
623	19.2	
624	19.2	
625	19.4	
626	19.3	
627	19.4	
628	19.4	
629	19.5	
630	19.5	
631	19.5	
632	19.5	
633	19.6	
634	19.6	
635	19.7	
636	19.7	
637	19.8	
638	19.8	
639	19.8	
640	19.9	
641	19.9	
642	19.9	
643	20.0	
644	20.0	
645	20.1	
646	20.1	
647	20.1	
648	20.2	
649	20.2	
650	20.3	
651	20.3	
652	20.3	
653	20.3	
654	20.4	
655	20.4	
656	20.4	
657	20.4	
658	20.6	
659	20.6	
660	20.6	
661	20.7	
662	20.8	
663	20.7	
664	20.8	
665	20.8	
666	20.8	
667	20.9	
668	20.9	
669	20.9	
670	21.0	
671	21.0	
672	21.1	
673	21.1	
674	21.2	
675	21.2	
676	21.2	
677	21.3	
678	21.4	
679	21.4	
680	21.5	
681	21.5	
682	21.5	
683	21.5	
684	21.6	
685	21.5	
686	21.6	
687	21.6	
688	21.7	
689	21.7	
690	21.8	
691	21.8	
692	21.8	
693	21.9	
694	21.9	
695	21.9	
696	22.0	
697	22.0	
698	22.1	
699	22.1	
700	22.1	
701	22.1	
702	22.2	
703	22.2	
704	22.3	
705	22.3	
706	22.4	
707	22.4	
708	22.4	
709	22.4	
710	22.5	
711	22.5	
712	22.6	
713	22.6	
714	22.7	
715	22.7	
716	22.7	
717	22.7	
718	22.8	
719	22.8	
720	22.8	
721	22.9	
722	22.9	
723	23.0	
724	23.0	
725	23.0	
726	23.1	
727	23.1	
728	23.2	
729	23.2	
730	23.2	
731	23.3	
732	23.3	
733	23.3	
734	23.4	
735	23.4	
736	23.5	
737	23.5	
738	23.5	
739	23.6	
740	23.6	
741	23.7	
742	23.7	
743	23.7	
744	23.8	
745	23.8	
746	23.9	
747	24.0	
748	24.0	
749	24.0	
750	24.0	
751	24.0	
752	24.1	
753	24.0	
754	24.1	
755	24.2	
756	24.2	
757	24.3	
758	24.3	
759	24.3	
760	24.3	
761	24.4	
762	24.4	
763	24.3	
764	24.5	
765	24.5	
766	24.5	
767	24.6	
768	24.7	
769	24.7	
770	24.8	
771	24.7	
772	24.8	
773	24.8	
774	24.9	
775	24.9	
776	24.9	
777	25.0	
778	25.0	
779	25.0	
780	25.1	
781	25.1	
782	25.2	
783	25.2	
784	25.2	
785	25.2	
786	25.3	
787	25.3	
788	25.5	
789	25.5	
790	25.5	
791	25.6	
792	25.5	
793	25.6	
794	25.6	
795	25.7	
796	25.7	
797	25.7	
798	25.8	
799	25.8	
800	25.9	
801	25.9	
802	25.9	
803	26.0	
804	26.0	
805	26.1	
806	26.1	
807	26.1	
808	26.2	
809	26.2	
810	26.2	
811	26.3	
812	26.3	
813	26.2	
814	26.3	
815	26.4	
816	26.4	
817	26.4	
818	26.5	
819	26.5	
820	26.5	
821	26.6	
822	26.6	
823	26.6	
824	26.7	
825	26.7	
826	26.8	
827	26.8	
828	26.9	
829	26.9	
830	26.9	
831	27.0	
832	27.0	
833	27.0	
834	27.1	
835	27.1	
836	27.2	
837	27.2	
838	27.2	
839	27.3	
840	27.4	
841	27.4	
842	27.3	
843	27.4	
844	27.4	
845	27.5	
846	27.5	
847	27.5	
848	27.6	
849	27.6	
850	27.7	
851	27.7	
852	27.7	
853	27.8	
854	27.8	
855	27.9	
856	28.0	
857	28.0	
858	27.9	
859	27.9	
860	28.0	
861	28.0	
862	28.1	
863	28.1	
864	28.1	
865	28.1	
866	28.3	
867	28.2	
868	28.2	
869	28.4	
870	28.4	
871	28.4	
872	28.4	
873	28.5	
874	28.4	
875	28.5	
876	28.6	
877	28.6	
878	28.6	
879	28.7	
880	28.7	
881	28.8	
882	28.8	
883	28.8	
884	28.9	
885	29.0	
886	28.9	
887	29.0	
888	29.1	
889	29.0	
890	29.1	
891	29.2	
892	29.1	
893	29.2	
894	29.2	
895	29.3	
896	29.3	
897	29.4	
898	29.4	
899	29.4	
900	29.5	
901	29.5	
902	29.5	
903	29.5	
904	29.6	
905	29.6	
906	29.6	
907	29.7	
908	29.7	
909	29.7	
910	29.8	
911	29.8	
912	29.9	
913	29.9	
914	29.9	
915	30.0	
916	30.0	
917	30.0	
918	30.1	
919	30.1	
920	30.1	
921	30.2	
922	30.2	
923	30.2	
924	30.3	
925	30.3	
926	30.4	
927	30.4	
928	30.4	
929	30.4	
930	30.5	
931	30.5	
932	30.5	
933	30.6	
934	30.6	
935	30.7	
936	30.7	
937	30.7	
938	30.7	
939	30.8	
940	30.8	
941	30.8	
942	30.9	
943	30.9	
944	31.0	
945	31.0	
946	31.0	
947	31.0	
948	31.1	
949	31.1	
950	31.2	
951	31.2	
952	31.2	
953	31.2	
954	31.3	
955	31.3	
956	31.3	
957	31.3	
958	31.4	
959	31.4	
960	31.5	
961	31.5	
962	31.5	
963	31.6	
964	31.6	
965	31.7	
966	31.7	
967	31.7	
968	31.8	
969	31.8	
970	31.9	
971	31.9	
972	31.9	
973	31.9	
974	31.9	
975	32.0	
976	32.0	
977	32.1	
978	32.1	
979	32.2	
980	32.2	
981	32.2	
982	32.2	
983	32.2	
984	32.3	
985	32.3	
986	32.3	
987	32.4	
988	32.5	
989	32.5	
990	32.5	
991	32.6	
992	32.6	
993	32.6	
994	32.7	
995	32.7	
996	32.7	
997	32.7	
998	32.8	
999	32.8	
1000	32.9	
1001	32.9	
1002	32.9	
1003	32.9	
1004	32.9	
1005	33.0	
1006	33.0	
1007	33.0	
1008	33.1	
1009	33.1	
1010	33.1	
1011	33.1	
1012	33.2	
1013	33.2	
1014	33.2	
1015	33.2	
1016	33.3	
1017	33.3	
1018	33.4	
1019	33.4	
1020	33.4	
1021	33.5	
1022	33.5	
1023	33.5	
1024	33.6	
1025	33.6	
1026	33.6	
1027	33.6	
1028	33.6	
1029	33.7	
1030	33.7	
1031	33.7	
1032	33.7	
1033	33.7	
1034	33.8	
1035	33.8	
1036	33.8	
1037	33.9	
1038	33.9	
1039	33.9	
1040	34.0	
1041	34.0	
1042	34.0	
1043	34.1	
1044	34.1	
1045	34.1	
1046	34.1	
1047	34.2	
1048	34.2	
1049	34.2	
1050	34.2	
1051	34.3	
1052	34.3	
1053	34.3	
1054	34.4	
1055	34.4	
1056	34.4	
1057	34.4	
1058	34.5	
1059	34.5	
1060	34.5	
1061	34.5	
1062	34.6	
1063	34.6	
1064	34.6	
1065	34.7	
1066	34.7	
1067	34.7	
1068	34.7	
1069	34.7	
1070	34.8	
1071	34.8	
1072	34.8	
1073	34.8	
1074	34.8	
1075	34.8	
1076	34.9	
1077	34.9	
1078	35.0	
1079	35.0	
1080	35.0	
1081	35.1	
1082	35.0	
1083	35.1	
1084	35.2	
1085	35.2	
1086	35.2	
1087	35.2	
1088	35.2	
1089	35.2	
1090	35.2	
1091	35.3	
1092	35.3	
1093	35.3	
1094	35.3	
1095	35.4	
1096	35.4	
1097	35.4	
1098	35.4	
1099	35.5	
1100	35.5	
1101	35.5	
1102	35.5	
1103	35.5	
1104	35.6	
1105	35.6	
1106	35.6	
1107	35.7	
1108	35.7	
1109	35.7	
1110	35.7	
1111	35.8	
1112	35.8	
1113	35.8	
1114	35.8	
1115	35.8	
1116	35.8	
1117	35.9	
1118	35.9	
1119	35.9	
1120	35.9	
1121	35.9	
1122	35.9	
1123	36.0	
1124	36.0	
1125	36.0	
1126	36.0	
1127	36.0	
1128	36.1	
1129	36.1	
1130	36.1	
1131	36.1	
1132	36.2	
1133	36.2	
1134	36.2	
1135	36.2	
1136	36.2	
1137	36.3	
1138	36.3	
1139	36.3	
1140	36.3	
1141	36.3	
1142	36.4	
1143	36.4	
1144	36.4	
1145	36.4	
1146	36.5	
1147	36.5	
1148	36.5	
1149	36.6	
1150	36.6	
1151	36.6	
1152	36.7	
1153	36.7	
1154	36.6	
1155	36.7	
1156	36.7	
1157	36.6	
1158	36.7	
1159	36.7	
1160	36.7	
1161	36.7	
1162	36.7	
1163	36.7	
1164	36.8	
1165	36.7	
1166	36.7	
1167	36.8	
1168	36.9	
1169	36.9	
1170	36.9	
1171	36.9	
1172	36.9	
1173	37.0	
1174	36.9	
1175	37.0	
1176	37.0	
1177	37.0	
1178	37.0	
1179	37.1	
1180	37.1	
1181	37.1	
1182	37.1	
1183	37.1	
1184	37.2	
1185	37.2	
1186	37.2	
1187	37.2	
1188	37.2	
1189	37.3	
1190	37.3	
1191	37.3	
1192	37.3	
1193	37.3	
1194	37.3	
1195	37.3	
1196	37.3	
1197	37.4	
1198	37.4	
1199	37.4	
1200	37.4	
1201	37.5	
1202	37.5	
1203	37.4	
1204	37.5	
1205	37.6	
1206	37.5	
1207	37.6	
1208	37.6	
1209	37.6	
1210	37.6	
1211	37.6	
1212	37.7	
1213	37.8	
1214	37.7	
1215	37.8	
1216	37.7	
1217	37.8	
1218	37.8	
1219	37.8	
1220	37.8	
1221	37.9	
1222	37.8	
1223	37.9	
1224	37.9	
1225	37.9	
1226	37.9	
1227	37.9	
1228	38.0	
1229	38.0	
1230	38.0	
1231	38.0	
1232	38.0	
1233	38.1	
1234	38.2	
1235	38.1	
1236	38.1	
1237	38.1	
1238	38.2	
1239	38.2	
1240	38.2	
1241	38.1	
1242	38.2	
1243	38.2	
1244	38.2	
1245	38.2	
1246	38.3	
1247	38.3	
1248	38.4	
1249	38.3	
1250	38.3	
1251	38.3	
1252	38.3	
1253	38.4	
1254	38.4	
1255	38.4	
1256	38.4	
1257	38.4	
1258	38.4	
1259	38.4	
1260	38.4	
1261	38.5	
1262	38.5	
1263	38.5	
1264	38.5	
1265	38.5	
1266	38.5	
1267	38.6	
1268	38.6	
1269	38.6	
1270	38.6	
1271	38.6	
1272	38.7	
1273	38.7	
1274	38.7	
1275	38.7	
1276	38.7	
1277	38.7	
1278	38.7	
1279	38.8	
1280	38.8	
1281	38.8	
1282	38.8	
1283	38.8	
1284	38.8	
1285	38.8	
1286	38.8	
1287	38.9	
1288	38.9	
1289	38.9	
1290	38.9	
1291	38.9	
1292	38.9	
1293	39.0	
1294	38.9	
1295	39.0	
1296	38.9	
1297	39.0	
1298	39.0	
1299	39.0	
1300	39.0	
1301	39.0	
1302	39.1	
1303	39.1	
1304	39.1	
1305	39.1	
1306	39.1	
1307	39.1	
1308	39.2	
1309	39.2	
1310	39.2	
1311	39.2	
1312	39.2	
1313	39.2	
1314	39.3	
1315	39.2	
1316	39.3	
1317	39.3	
1318	39.3	
1319	39.3	
1320	39.2	
1321	39.3	
1322	39.3	
1323	39.4	
1324	39.4	
1325	39.3	
1326	39.4	
1327	39.4	
1328	39.4	
1329	39.4	
1330	39.4	
1331	39.5	
1332	39.5	
1333	39.5	
1334	39.5	
1335	39.5	
1336	39.5	
1337	39.6	
1338	39.6	
1339	39.6	
1340	39.6	
1341	39.6	
1342	39.6	
1343	39.6	
1344	39.7	
1345	39.7	
1346	39.7	
1347	39.6	
1348	39.7	
1349	39.7	
1350	39.7	
1351	39.8	
1352	39.8	
1353	39.9	
1354	39.8	
1355	39.8	
1356	39.8	
1357	39.8	
1358	39.9	
1359	39.9	
1360	39.9	
1361	39.9	
1362	39.9	
1363	40.0	
1364	40.0	
1365	40.0	
1366	40.0	
1367	40.0	
1368	40.0	
1369	40.0	
1370	40.0	
1371	40.0	
1372	40.1	
1373	40.0	
1374	40.1	
1375	40.0	
1376	40.1	
1377	40.1	
1378	40.2	
1379	40.1	
1380	40.2	
1381	40.2	
1382	40.2	
1383	40.2	
1384	40.3	
1385	40.3	
1386	40.3	
1387	40.3	
1388	40.3	
1389	40.3	
1390	40.2	
1391	40.4	
1392	40.3	
1393	40.3	
1394	40.3	
1395	40.4	
1396	40.4	
1397	40.4	
1398	40.4	
1399	40.4	
1400	40.4	
1401	40.5	
1402	40.4	
1403	40.5	
1404	40.5	
1405	40.5	
1406	40.5	
1407	40.5	
1408	40.5	
1409	40.5	
1410	40.5	
1411	40.6	
1412	40.6	
1413	40.6	
1414	40.6	
1415	40.7	
1416	40.7	
1417	40.7	
1418	40.7	
1419	40.7	
1420	40.7	
1421	40.7	
1422	40.7	
1423	40.7	
1424	40.7	
1425	40.8	
1426	40.8	
1427	40.8	
1428	40.8	
1429	40.8	
1430	40.8	
1431	40.8	
1432	40.8	
1433	40.9	
1434	40.9	
1435	40.9	
1436	40.9	
1437	40.9	
1438	41.0	
1439	41.0	
1440	41.0	
1441	41.0	
1442	41.0	
1443	41.0	
1444	41.0	
1445	41.0	
1446	41.0	
1447	41.0	
1448	41.1	
1449	41.1	
1450	41.1	
1451	41.1	
1452	41.1	
1453	41.1	
1454	41.1	
1455	41.1	
1456	41.2	
1457	41.2	
1458	41.2	
1459	41.2	
1460	41.2	
1461	41.2	
1462	41.2	
1463	41.2	
1464	41.3	
1465	41.3	
1466	41.3	
1467	41.3	
1468	41.3	
1469	41.3	
1470	41.3	
1471	41.3	
1472	41.3	
1473	41.3	
1474	41.4	
1475	41.4	
1476	41.4	
1477	41.4	
1478	41.4	
1479	41.4	
1480	41.4	
1481	41.4	
1482	41.5	
1483	41.5	
1484	41.5	
1485	41.5	
1486	41.5	
1487	41.5	
1488	41.5	
1489	41.5	
1490	41.5	
1491	41.5	
1492	41.6	
1493	41.6	
1494	41.6	
1495	41.6	
1496	41.6	
1497	41.6	
1498	41.6	
1499	41.6	
1500	41.6	
1501	41.6	
1502	41.7	
1503	41.7	
1504	41.7	
1505	41.7	
1506	41.8	
1507	41.7	
1508	41.8	
1509	41.7	
1510	41.8	
1511	41.8	
1512	41.8	
1513	41.8	
1514	41.9	
1515	41.8	
1516	41.9	
1517	41.9	
1518	41.9	
1519	41.9	
1520	41.9	
1521	41.9	
1522	41.9	
1523	41.9	
1524	42.0	
1525	42.0	
1526	42.0	
1527	42.0	
1528	42.0	
1529	42.0	
1530	42.0	
1531	42.1	
1532	42.1	
1533	41.9	
1534	42.1	
1535	42.1	
1536	42.2	
1537	42.1	
1538	42.1	
1539	42.1	
1540	42.2	
1541	42.2	
1542	42.3	
1543	42.2	
1544	42.2	
1545	42.3	
1546	42.3	
1547	42.3	
1548	42.3	
1549	42.3	
1550	42.3	
1551	42.3	
1552	42.3	
1553	42.3	
1554	42.4	
1555	42.4	
1556	42.4	
1557	42.4	
1558	42.4	
1559	42.4	
1560	42.4	
1561	42.5	
1562	42.5	
1563	42.5	
1564	42.5	
1565	42.5	
1566	42.5	
1567	42.6	
1568	42.6	
1569	42.6	
1570	42.6	
1571	42.6	
1572	42.6	
1573	42.6	
1574	42.6	
1575	42.6	
1576	42.7	
1577	42.7	
1578	42.7	
1579	42.7	
1580	42.7	
1581	42.7	
1582	42.7	
1583	42.7	
1584	42.8	
1585	42.7	
1586	42.8	
1587	42.8	
1588	42.8	
1589	42.9	
1590	42.9	
1591	42.9	
1592	42.9	
1593	42.9	
1594	42.9	
1595	42.9	
1596	42.9	
1597	42.9	
1598	43.0	
1599	43.0	
1600	43.0	
1601	43.1	
1602	43.0	
1603	43.1	
1604	43.1	
1605	43.1	
1606	43.2	
1607	43.3	
1608	43.2	
1609	43.2	
1610	43.2	
1611	43.2	
1612	43.2	
1613	43.2	
1614	43.2	
1615	43.2	
1616	43.2	
1617	43.3	
1618	43.3	
1619	43.3	
1620	43.3	
1621	43.3	
1622	43.3	
1623	43.3	
1624	43.3	
1625	43.4	
1626	43.4	
1627	43.4	
1628	43.5	
1629	43.4	
1630	43.4	
1631	43.5	
1632	43.4	
1633	43.4	
1634	43.5	
1635	43.5	
1636	43.6	
1637	43.5	
1638	43.5	
1639	43.5	
1640	43.6	
1641	43.7	
1642	43.6	
1643	43.6	
1644	43.6	
1645	43.6	
1646	43.7	
1647	43.6	
1648	43.7	
1649	43.7	
1650	43.7	
1651	43.7	
1652	43.8	
1653	43.7	
1654	43.8	
1655	43.8	
1656	43.8	
1657	43.8	
1658	43.8	
1659	43.8	
1660	43.9	
1661	43.9	
1662	43.9	
1663	43.9	
1664	43.9	
1665	43.9	
1666	43.9	
1667	44.0	
1668	44.0	
1669	44.0	
1670	44.0	
1671	44.0	
1672	44.0	
1673	44.1	
1674	44.1	
1675	44.1	
1676	44.1	
1677	44.1	
1678	44.1	
1679	44.1	
1680	44.2	
1681	44.2	
1682	44.2	
1683	44.2	
1684	44.2	
1685	44.2	
1686	44.3	
1687	44.3	
1688	44.3	
1689	44.3	
1690	44.3	
1691	44.3	
1692	44.4	
1693	44.4	
1694	44.4	
1695	44.4	
1696	44.5	
1697	44.5	
1698	44.5	
1699	44.5	
1700	44.5	
1701	44.5	
1702	44.5	
1703	44.6	
1704	44.6	
1705	44.6	
1706	44.6	
1707	44.6	
1708	44.6	
1709	44.7	
1710	44.7	
1711	44.7	
1712	44.7	
1713	44.7	
1714	44.7	
1715	44.8	
1716	44.8	
1717	44.8	
1718	44.8	
1719	44.8	
1720	44.8	
1721	44.9	
1722	44.9	
1723	44.9	
1724	45.0	
1725	44.9	
1726	45.0	
1727	45.0	
1728	45.1	
1729	45.0	
1730	45.0	
1731	45.0	
1732	45.1	
1733	45.1	
1734	45.1	
1735	45.1	
1736	45.2	
1737	45.2	
1738	45.1	
1739	45.1	
1740	45.1	
1741	45.1	
1742	45.2	
1743	45.1	
1744	45.2	
1745	45.2	
1746	45.1	
1747	45.2	
1748	45.2	
1749	45.2	
1750	45.3	
1751	45.2	
1752	45.3	
1753	45.3	
1754	45.3	
1755	45.3	
1756	45.3	
1757	45.3	
1758	45.3	
1759	45.3	
1760	45.4	
1761	45.4	
1762	45.4	
1763	45.4	
1764	45.4	
1765	45.5	
1766	45.5	
1767	45.5	
1768	45.5	
1769	45.5	
1770	45.5	
1771	45.5	
1772	45.5	
1773	45.5	
1774	45.6	
1775	45.6	
